Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Brain_Cortex	4957	27	0.821332006146074	1	ENSG00000198625:ENSG00000110092:ENSG00000111057:ENSG00000167695:ENSG00000004897:ENSG00000005243:ENSG00000136436:ENSG00000064300:ENSG00000121104:ENSG00000005884:ENSG00000167644:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000125520:ENSG00000083937:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000180535:ENSG00000254087
DEG.down	Brain_Frontal_Cortex_BA9	4429	25	0.746525426562397	1	ENSG00000133056:ENSG00000198625:ENSG00000110092:ENSG00000167695:ENSG00000005243:ENSG00000136436:ENSG00000064300:ENSG00000121104:ENSG00000005884:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000258366:ENSG00000197114:ENSG00000125520:ENSG00000206530:ENSG00000163611:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000167034:ENSG00000254087
DEG.down	Brain_Hippocampus	6806	36	0.911068757927938	1	ENSG00000198625:ENSG00000110092:ENSG00000149716:ENSG00000111057:ENSG00000167695:ENSG00000004897:ENSG00000141279:ENSG00000005243:ENSG00000136436:ENSG00000159210:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000005882:ENSG00000167644:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000101216:ENSG00000258366:ENSG00000101246:ENSG00000197114:ENSG00000125520:ENSG00000130584:ENSG00000083937:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000254087
DEG.down	Brain_Hypothalamus	5303	29	0.824941757837223	1	ENSG00000133056:ENSG00000198625:ENSG00000110092:ENSG00000170421:ENSG00000167695:ENSG00000005243:ENSG00000136436:ENSG00000064300:ENSG00000121104:ENSG00000005884:ENSG00000167644:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000258366:ENSG00000197114:ENSG00000125520:ENSG00000130584:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000167034:ENSG00000254087
DEG.down	Brain_Nucleus_accumbens_basal_ganglia	5801	33	0.765627629145649	1	ENSG00000133056:ENSG00000198625:ENSG00000110092:ENSG00000149716:ENSG00000167695:ENSG00000004897:ENSG00000005243:ENSG00000136436:ENSG00000159202:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000167644:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000258366:ENSG00000197114:ENSG00000125520:ENSG00000130584:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000167034:ENSG00000254087
DEG.down	Brain_Putamen_basal_ganglia	7081	39	0.860260907085532	1	ENSG00000133056:ENSG00000198625:ENSG00000110092:ENSG00000149716:ENSG00000167695:ENSG00000004897:ENSG00000141279:ENSG00000005243:ENSG00000136436:ENSG00000159202:ENSG00000159210:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000167644:ENSG00000115504:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000101216:ENSG00000258366:ENSG00000197114:ENSG00000125520:ENSG00000130584:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000205356:ENSG00000167034:ENSG00000254087
DEG.down	Brain_Spinal_cord_cervical_c-1	4547	26	0.725277804965236	1	ENSG00000170382:ENSG00000111057:ENSG00000167695:ENSG00000141279:ENSG00000121104:ENSG00000005884:ENSG00000005882:ENSG00000167644:ENSG00000115504:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000258366:ENSG00000197114:ENSG00000125520:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000164715:ENSG00000167034
DEG.down	Brain_Substantia_nigra	6489	38	0.713144892916457	1	ENSG00000198625:ENSG00000149716:ENSG00000111057:ENSG00000167695:ENSG00000004897:ENSG00000141279:ENSG00000005243:ENSG00000136436:ENSG00000159202:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000005882:ENSG00000167644:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000101216:ENSG00000258366:ENSG00000101246:ENSG00000197114:ENSG00000125520:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000164715:ENSG00000205356:ENSG00000167034:ENSG00000254087
DEG.down	Breast_Mammary_Tissue	912	0	1	1	
DEG.down	Cells_Cultured_fibroblasts	1713	16	0.064960196106583	1	ENSG00000198625:ENSG00000170421:ENSG00000111057:ENSG00000064300:ENSG00000121104:ENSG00000005882:ENSG00000167642:ENSG00000167641:ENSG00000167644:ENSG00000118640:ENSG00000091409:ENSG00000203896:ENSG00000130584:ENSG00000206530:ENSG00000137166:ENSG00000254087
